450.26,464.41,465.25,463.29,473.78,468.58,463.398,471.986,480.62,484.3455
464.41,465.25,463.29,473.78,468.58,474.16,467.062,475.46,483.938,486.1495
465.25,463.29,473.78,468.58,474.16,483.01,469.012,478.069,486.4846667,486.9215
463.29,473.78,468.58,474.16,483.01,490.59,472.564,481.374,488.8573333,486.809
473.78,468.58,474.16,483.01,490.59,486.53,478.024,486.06,490.972,487.0375
468.58,474.16,483.01,490.59,486.53,485,480.574,489.231,491.328,487.036
474.16,483.01,490.59,486.53,485,490.5,483.858,492.376,492.512,487.742
483.01,490.59,486.53,485,490.5,498.3,487.126,495.221,492.8913333,488.1895
490.59,486.53,485,490.5,498.3,510.15,490.184,497.004,491.5573333,487.895
486.53,485,490.5,498.3,510.15,505.49,494.096,497.446,490.042,487.9645
485,490.5,498.3,510.15,505.49,500.03,497.888,496.705,489.19,487.419
490.5,498.3,510.15,505.49,500.03,502.61,500.894,496.839,489.0366667,487.63
498.3,510.15,505.49,500.03,502.61,500.84,503.316,495.774,488.544,486.9605
510.15,505.49,500.03,502.61,500.84,495.01,503.824,492.244,487.132,485.4855
505.49,500.03,502.61,500.84,495.01,479.12,500.796,488.015,485.9206667,484.044
500.03,502.61,500.84,495.01,479.12,486.34,495.522,484.841,483.9293333,485.4415
502.61,500.84,495.01,479.12,486.34,479.85,492.784,483.108,483.2086667,487.22
500.84,495.01,479.12,486.34,479.85,463,488.232,481.158,481.5086667,487.894
495.01,479.12,486.34,479.85,463,467.86,480.664,478.786,479.3726667,488.933
479.12,486.34,479.85,463,467.86,473.75,475.234,478.483,478.46,490.8725
486.34,479.85,463,467.86,473.75,482.7,474.16,478.133,482.0813333,493.945
479.85,463,467.86,473.75,482.7,483.11,473.432,478.421,485.3653333,496.7055
463,467.86,473.75,482.7,483.11,477.12,474.084,478.147,487.7813333,500.4395
467.86,473.75,482.7,483.11,477.12,491.98,476.908,478.727,491.6893333,504.485
473.75,482.7,483.11,477.12,491.98,475.62,481.732,480.073,496.0853333,507.942
482.7,483.11,477.12,491.98,475.62,489.22,482.106,486.042,500.54,510.6065
483.11,477.12,491.98,475.62,489.22,477.11,483.41,491.332,504.4633333,513.208
477.12,491.98,475.62,489.22,477.11,468.8,482.21,494.63,509.2246667,515.3735
491.98,475.62,489.22,477.11,468.8,481.32,480.546,499.08,513.6773333,517.921
475.62,489.22,477.11,468.8,481.32,533.44,478.414,503.262,516.6786667,519.763
489.22,477.11,468.8,481.32,533.44,535.6,489.978,509.757,520.1066667,523.532
477.11,468.8,481.32,533.44,535.6,516.09,499.254,514.99,523.1406667,526.186
468.8,481.32,533.44,535.6,516.09,521.62,507.05,522.732,526.428,529.591
481.32,533.44,535.6,516.09,521.62,533.8,517.614,530.243,530.3793333,533.4725
533.44,535.6,516.09,521.62,533.8,540.57,528.11,535.811,533.546,537.4165
535.6,516.09,521.62,533.8,540.57,541.55,529.536,535.171,534.7166667,538.8635
516.09,521.62,533.8,540.57,541.55,554.53,530.726,535.084,535.1633333,540.5565
521.62,533.8,540.57,541.55,554.53,543.91,538.414,536.117,537.1046667,543.3925
533.8,540.57,541.55,554.53,543.91,537,542.872,536.762,538.7586667,545.887
540.57,541.55,554.53,543.91,537,527.04,543.512,536.264,540.5186667,546.8445
541.55,554.53,543.91,537,527.04,534.73,540.806,537.307,541.9726667,547.076
554.53,543.91,537,527.04,534.73,526.42,539.442,537.382,543.8333333,547.707
543.91,537,527.04,534.73,526.42,528.07,533.82,536.45,545.052,547.874
537,527.04,534.73,526.42,528.07,528.82,530.652,536.702,546.892,549.0285
527.04,534.73,526.42,528.07,528.82,551,529.016,539.022,547.9553333,551.4935
534.73,526.42,528.07,528.82,551,542.3,533.808,542.556,549.166,553.7525
526.42,528.07,528.82,551,542.3,545.21,535.322,546.029,550.462,555.381
528.07,528.82,551,542.3,545.21,546.43,539.08,550.668,552.5586667,557.81
528.82,551,542.3,545.21,546.43,560.2,542.752,555.012,555.154,560.6965
551,542.3,545.21,546.43,560.2,562.38,549.028,557.425,558.986,563.4055
542.3,545.21,546.43,560.2,562.38,569.46,551.304,556.845,560.4006667,564.2675
545.21,546.43,560.2,562.38,569.46,572.81,556.736,558.032,562.0673333,565.1975
546.43,560.2,562.38,569.46,572.81,571.51,562.256,559.298,564.0533333,565.168
560.2,562.38,569.46,572.81,571.51,552.95,567.272,561.355,566.678,565.3195
562.38,569.46,572.81,571.51,552.95,545.2,565.822,563.965,568.198,564.809
569.46,572.81,571.51,552.95,545.2,554.17,562.386,564.949,568.5886667,565.62
572.81,571.51,552.95,545.2,554.17,557.87,559.328,564.733,568.018,566.023
571.51,552.95,545.2,554.17,557.87,567,556.34,564.952,566.1386667,566.386
552.95,545.2,554.17,557.87,567,586.3,555.438,566.381,564.6686667,566.8605
